gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
Male,0,No,Yes,30,No,No,Fiber optic,No,No,No,Yes,No,Yes,One year,Yes,Bank transfer,119.24,2112.71,Yes
Female,1,No,No,17,Yes,No,No,No,Yes,Yes,Yes,No,No,Two year,No,Credit card,87.15,7637.58,Yes
Male,0,Yes,No,62,No,No,No,Yes,Yes,No,Yes,No,No,Two year,No,Electronic check,51.69,3914.81,Yes
Male,0,Yes,No,13,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,107.93,1354.54,Yes
Male,1,No,Yes,59,No,No,No,No,Yes,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,45.84,6011.27,Yes
Female,0,No,Yes,19,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,Yes,Two year,No,Electronic check,74.4,2023.21,No
Male,1,No,Yes,49,Yes,No,Fiber optic,No,No,Yes,Yes,No,Yes,Two year,Yes,Mailed check,83.61,968.31,Yes
Male,1,No,No,12,No,Yes,Fiber optic,Yes,No,No,Yes,Yes,Yes,Two year,No,Mailed check,42.11,7771.68,Yes
Male,1,No,No,61,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Two year,Yes,Electronic check,117.84,4195.44,No
Female,0,No,No,19,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,94.82,6768.63,No
Male,0,Yes,Yes,9,Yes,No,No,No,Yes,No,No,Yes,Yes,Two year,No,Electronic check,75.78,2686.23,No
Male,0,No,No,71,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,Yes,Month-to-month,Yes,Mailed check,38.06,7104.03,Yes
Male,0,No,No,28,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Two year,Yes,Electronic check,25.39,1096.23,No
Male,0,Yes,No,52,Yes,No,No,No,No,No,No,No,Yes,Two year,Yes,Electronic check,52.01,3268.16,Yes
Female,0,Yes,No,16,No,Yes,Fiber optic,No,No,Yes,No,Yes,No,Two year,Yes,Bank transfer,95.32,8804.75,Yes
Male,0,Yes,Yes,69,Yes,No,DSL,No,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Bank transfer,46.93,7166.51,Yes
Female,1,Yes,Yes,12,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,73.96,4525.58,No
Female,0,No,No,25,No,No,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,One year,No,Credit card,92.79,3124.02,No
Female,1,No,Yes,52,No,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Electronic check,30.79,7862.01,No
Male,0,No,Yes,53,No,Yes,DSL,No,Yes,Yes,No,No,Yes,One year,Yes,Bank transfer,88.53,4949.15,No
Female,0,No,No,23,No,No,No,No,Yes,Yes,No,Yes,Yes,One year,No,Credit card,29.19,6849.98,No
Male,0,No,No,16,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Month-to-month,No,Credit card,116.51,6811.56,Yes
Female,1,No,Yes,57,No,No,DSL,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,68.84,259.72,Yes
Female,1,Yes,No,39,No,Yes,DSL,Yes,No,No,Yes,Yes,No,One year,Yes,Bank transfer,35.07,1223.66,Yes
Female,1,No,Yes,53,Yes,No,No,No,No,Yes,Yes,No,No,Two year,No,Bank transfer,54.24,5970.7,Yes
Female,1,Yes,No,42,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Credit card,61.34,1538.42,No
Female,0,Yes,Yes,58,No,Yes,DSL,Yes,Yes,No,No,Yes,Yes,Two year,No,Electronic check,95.82,2373.89,No
