ID,City,Gender,Qualification,Department,Experience,Salary
1,Mumbai,Male,MBA,HR,1,30000
2,Delhi,Female,BTECH,Finance,2,35000
3,Chennai,Male,PHD,IT,3,40000
4,Kolkata,Female,MCOM,Marketing,4,45000
5,Hyderabad,Male,BSC,Sales,5,50000
6,Pune,Female,MBA,HR,1,30000
7,Mumbai,Male,BTECH,Finance,2,35000
8,Delhi,Female,PHD,IT,3,40000
9,Chennai,Male,MCOM,Marketing,4,45000
10,Kolkata,Female,BSC,Sales,5,50000
11,Hyderabad,Male,MBA,HR,1,30000
12,Pune,Female,BTECH,Finance,2,35000
13,Mumbai,Male,PHD,IT,3,40000
14,Delhi,Female,MCOM,Marketing,4,45000
15,Chennai,Male,BSC,Sales,5,50000
16,Kolkata,Female,MBA,HR,1,30000
17,Hyderabad,Male,BTECH,Finance,2,35000
18,Pune,Female,PHD,IT,3,40000
19,Mumbai,Male,MCOM,Marketing,4,45000
20,Delhi,Female,BSC,Sales,5,50000
21,Chennai,Male,MBA,HR,1,30000
22,Kolkata,Female,BTECH,Finance,2,35000
23,Hyderabad,Male,PHD,IT,3,40000
24,Pune,Female,MCOM,Marketing,4,45000
25,Mumbai,Male,BSC,Sales,5,50000
26,Delhi,Female,MBA,HR,1,30000
27,Chennai,Male,BTECH,Finance,2,35000
28,Kolkata,Female,PHD,IT,3,40000
29,Hyderabad,Male,MCOM,Marketing,4,45000
30,Pune,Female,BSC,Sales,5,50000
